"MODEL_CD","COUNTRY_CD","NEW_COUNTRY_SGN","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG"
"1J81025001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81026000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81026001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2018/10/20 4:31:08,,"PLAN_S_P_MM983T"
"1J81027000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81027001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2021/06/17 4:30:48,,"PLAN_S_P_MM983T"
"1J81028000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81028001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81029000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81029001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81030000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81030001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81030001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81031000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81031001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81031001","390","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81032000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81032001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81032001","390","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81033000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81033001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81034000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81034001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81035000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81035001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81036000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81036001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81037000","   ","0",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81037001","   ","1",2016/11/05 8:26:55,,"PLAN_S_P_MM982T",2016/11/05 8:26:55,,"PLAN_S_P_MM982T"
"1J81037001","120","0",2017/09/08 4:31:11,,"PLAN_S_P_MM982T",2017/11/17 4:31:21,,"PLAN_S_P_MM983T"
"1J81038000","   ","0",2017/03/31 4:31:11,,"PLAN_S_P_MM982T",2017/08/25 4:31:21,,"PLAN_S_P_MM983T"
"1J81038001","   ","1",2017/03/31 4:31:11,,"PLAN_S_P_MM982T",2017/03/31 4:31:11,,"PLAN_S_P_MM982T"
